table,script_name,input_name
trip,hhno,household_id
trip,pno,PNUM
trip,day,day
trip,tour,tour_id
trip,half,half
trip,tseg,tseg
trip,tsvid,tsvid
trip,opurp,opurp
trip,dpurp,dpurp
trip,oadtyp,oadtyp
trip,dadtyp,dadtyp
trip,opcl,origin
trip,otaz,origin
trip,dpcl,destination
trip,dtaz,destination
trip,mode,trip_mode
trip,pathtype,
trip,dorp,
trip,deptm,deptm
trip,arrtm,arrtm
trip,endacttm,endacttm
trip,trexpfac,trip_weight
person,hhno,household_id
person,age,age
person,pno,PNUM
person,psexpfac,person_weight
tour,tdtaz,destination
tour,totaz,origin
tour,pwtaz,workplace_zone_id
tour,pstaz,school_zone_id
tour,parent,parent_tour_id
tour,hhno,household_id
tour,tour,tour_id
tour,tmodetp,tour_mode
joint_tour,hhno,household_id